original,entrez,symbol,kegg
383,ADRBK1|156,156,ADRBK1,hsa156
384,ADRBK2|157,157,ADRBK2,hsa157
385,ADRM1|11047,11047,ADRM1,hsa11047
386,ADSL|158,158,ADSL,hsa158
387,ADSS|159,159,ADSS,hsa159
388,ADSSL1|122622,122622,ADSSL1,hsa122622
389,AEBP1|165,165,AEBP1,hsa165
390,AEBP2|121536,121536,AEBP2,hsa121536
391,AEN|64782,64782,AEN,hsa64782
392,AES|166,166,AES,hsa166
393,AFAP1|60312,60312,AFAP1,hsa60312
394,AFAP1L1|134265,134265,AFAP1L1,hsa134265
395,AFAP1L2|84632,84632,AFAP1L2,hsa84632
396,AFARP1|246182,246182,AFARP1,hsa246182
397,AFF1|4299,4299,AFF1,hsa4299
398,AFF2|2334,2334,AFF2,hsa2334
399,AFF3|3899,3899,AFF3,hsa3899
400,AFF4|27125,27125,AFF4,hsa27125
401,AFG3L1|172,172,AFG3L1,hsa172
402,AFG3L2|10939,10939,AFG3L2,hsa10939
403,AFM|173,173,AFM,hsa173
404,AFMID|125061,125061,AFMID,hsa125061
405,AFP|174,174,AFP,hsa174
406,AFTPH|54812,54812,AFTPH,hsa54812
407,AG2|387763,387763,AG2,hsa387763
408,AGA|175,175,AGA,hsa175
409,AGAP11|119385,119385,AGAP11,hsa119385
410,AGAP1|116987,116987,AGAP1,hsa116987
411,AGAP2|116986,116986,AGAP2,hsa116986
412,AGAP3|116988,116988,AGAP3,hsa116988
413,AGAP4|119016,119016,AGAP4,hsa119016
414,AGAP5|729092,729092,AGAP5,hsa729092
415,AGAP6|414189,414189,AGAP6,hsa414189
416,AGAP7|653268,653268,AGAP7,hsa653268
417,AGAP8|728404,728404,AGAP8,hsa728404
418,AGBL1|123624,123624,AGBL1,hsa123624
419,AGBL2|79841,79841,AGBL2,hsa79841
420,AGBL3|340351,340351,AGBL3,hsa340351
421,AGBL4|84871,84871,AGBL4,hsa84871
422,AGBL5|60509,60509,AGBL5,hsa60509
423,AGER|177,177,AGER,hsa177
424,AGFG1|3267,3267,AGFG1,hsa3267
425,AGFG2|3268,3268,AGFG2,hsa3268
426,AGGF1|55109,55109,AGGF1,hsa55109
427,AGK|55750,55750,AGK,hsa55750
428,AGL|178,178,AGL,hsa178
429,AGMAT|79814,79814,AGMAT,hsa79814
430,AGPAT1|10554,10554,AGPAT1,hsa10554
431,AGPAT2|10555,10555,AGPAT2,hsa10555
432,AGPAT3|56894,56894,AGPAT3,hsa56894
433,AGPAT4|56895,56895,AGPAT4,hsa56895
434,AGPAT5|55326,55326,AGPAT5,hsa55326
435,AGPAT6|137964,137964,AGPAT6,hsa137964
436,AGPAT9|84803,84803,AGPAT9,hsa84803
437,AGPHD1|123688,123688,AGPHD1,hsa123688
438,AGPS|8540,8540,AGPS,hsa8540
439,AGR2|10551,10551,AGR2,hsa10551
440,AGR3|155465,155465,AGR3,hsa155465
441,AGRN|375790,375790,AGRN,hsa375790
442,AGRP|181,181,AGRP,hsa181
443,AGT|183,183,AGT,hsa183
444,AGTPBP1|23287,23287,AGTPBP1,hsa23287
445,AGTR1|185,185,AGTR1,hsa185
446,AGTR2|186,186,AGTR2,hsa186
447,AGTRAP|57085,57085,AGTRAP,hsa57085
